,symboling,normalised-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,price-binned
0,1.7207531206816515,0.0,alfa-romero,gas,std,,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,-0.014820636344078248,dohc,,0.07520135170068494,mpfi,0.514374878797261,-1.807023578665926,-0.290708773629209,0.20245638069405247,-0.24470884325904493,-0.6506244800016464,-0.5409370591313337,13495.0,Low
1,1.7207531206816515,0.0,alfa-romero,gas,std,,convertible,rwd,front,88.6,-0.4383150689245108,-0.8513345559782999,-2.0290145032580464,-0.014820636344078248,dohc,,0.07520135170068494,mpfi,0.514374878797261,-1.807023578665926,-0.290708773629209,0.20245638069405247,-0.24470884325904493,-0.6506244800016464,-0.5409370591313337,16500.0,Low
2,0.12687580613320937,0.0,alfa-romero,gas,std,,hatchback,rwd,front,94.5,-0.243544260846782,-0.18513448909205427,-0.5583194270710061,0.5167891455630869,ohcv,,0.6047242453637883,mpfi,-2.402977977879763,0.6674777811913409,-0.290708773629209,1.3474790175737656,-0.24470884325904493,-0.9619947668595773,-0.6876689739564323,16500.0,Low
3,0.9238144634074305,1.3126538356356985,audi,gas,std,,sedan,fwd,front,99.8,0.19469005732811234,0.1479655443510685,0.21788075202770885,-0.42271032355284854,ohc,,-0.4302523195231865,mpfi,-0.5196236020502927,0.44821816702677214,-0.04101873218202077,-0.0371995200482131,0.7958266227356086,-0.18356904971475022,-0.10074131465603804,13950.0,Low
4,0.9238144634074305,1.3126538356356985,audi,gas,std,,sedan,4wd,front,99.4,0.19469005732811234,0.24313698247767598,0.21788075202770885,0.5187222720427492,ohc,,0.21961668633607678,mpfi,-0.5196236020502927,0.44821816702677214,-0.5403988150763973,0.3089701143572816,0.7958266227356086,-1.1176799102885426,-1.2745966332568266,17450.0,Low
5,0.9238144634074305,0.0,audi,gas,std,,sedan,fwd,front,99.8,0.25149820968411846,0.19555126341436888,-0.27235094003463606,-0.09407882201023741,ohc,,0.21961668633607678,mpfi,-0.5196236020502927,0.44821816702677214,-0.41555379435280315,0.1758279472782452,0.7958266227356086,-0.9619947668595773,-0.8344008887815308,15250.0,Low
6,0.12687580613320937,1.125131859116313,audi,gas,std,,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,0.5573848016359977,ohc,,0.21961668633607678,mpfi,-0.5196236020502927,0.44821816702677214,-0.41555379435280315,0.1758279472782452,0.7958266227356086,-0.9619947668595773,-0.8344008887815308,17710.0,Low
7,0.12687580613320937,0.0,audi,gas,std,,wagon,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.7898177261004489,0.7700287143988637,ohc,,0.21961668633607678,mpfi,-0.5196236020502927,0.44821816702677214,-0.41555379435280315,0.1758279472782452,0.7958266227356086,-0.9619947668595773,-0.8344008887815308,18920.0,Medium
8,0.12687580613320937,1.125131859116313,audi,gas,turbo,,sedan,fwd,front,105.8,1.5012775615162213,2.6224229356428292,0.8715230081108383,1.025201409714303,ohc,,0.09927057413991691,mpfi,-0.7411947050890543,0.44821816702677214,-0.4654918026422406,0.9746809497524637,0.7958266227356086,-1.273365053717508,-1.5680604629070236,23875.0,Medium
10,0.9238144634074305,2.1877563927261643,bmw,gas,std,,sedan,rwd,front,101.2,0.21092095800125793,-0.518234522535177,0.21788075202770885,-0.31058898773242827,ohc,,-0.4543215419624185,mpfi,0.6251604303166408,-1.4311499543838104,-0.3406467819186465,-0.06382795346402038,1.4201479023324006,-0.33925419314371563,-0.24747322948113662,16430.0,Low
